,Institution,C_ID,% Fraternity,% Sorority,Fraternity,Sorority
227,University of North Carolina at Asheville,UNCA,0.01,0.02,0,0
228,University of North Carolina at Greensboro,UNCG,0.02,0.01,1,1
229,University of North Florida,UNF,0,0,1,1
230,University of Northern Iowa,UNI,0.05,0.07,1,1
231,University of the Pacific,UPAC,0.07,0.05,1,1
232,Ursinus College,URSN,0.06,0.13,1,1
233,University of Southern California,USC,0.11,0.14,1,1
234,Massachusetts College of Liberal Arts,MCLA,0,0,0,0
235,Valparaiso University,VALP,0.29,0.32,1,1
236,Vanderbilt University,VAN,0.27,0.43,1,1
237,Vassar College,VAS,0,0,0,0
238,Virginia Commonwealth University,VCU,0.06,0.05,1,1
239,Villanova University,VIL,0.21,0.26,1,1
240,University of Vermont,VMT,0.05,0.05,0,0
241,Wabash College,WAB,0.61,0,1,0
242,Wagner College,WAG,0.08,0.12,1,1
243,Wake Forest University,WAK,0.28,0.57,1,1
244,College of William and Mary,WAM,0.2,0.28,1,1
245,Warren Wilson College,WAR,0,0,0,0
246,CUNY Bernard M Baruch College,BRCH,0,0,0,0
247,Washington State University,WAST,0.21,0.26,1,1
248,Western Carolina University,WCAR,0,0,1,1
249,Washington College,WCOL,0.22,0.31,1,1
250,Wellesley College,WEL,0,0,0,0
251,Wentworth Institute of Technology,WEN,0,0,0,0
252,Wesleyan University,WESL,0.04,0.01,1,1
253,Whitman College,WHI,0.19,0.16,1,1
254,Widener University,WID,0.14,0.19,1,1
255,Washington and Lee University,WLEE,0.79,0.7,1,1
256,Williams College,WLMS,0,0,0,0
257,Willamette University,WLMT,0.21,0.16,1,1
258,Western Michigan University,WMU,0.07,0.08,1,1
259,Wofford College,WOF,0.46,0.42,1,1
260,Worcester Polytechnic Institute,WOR,0.28,0.36,1,1
261,Westmont College,WSMT,0,0,0,0
262,Winthrop University,WTRP,0,0.02,1,1
263,Whittier College,WTTR,0,0,0,0
264,Western Washington University,WWAS,0,0,0,0
265,University of Wyoming,WY,0.06,0.07,1,1
266,Xavier University,XAV,0,0,0,0
267,Yale University,YAL,0,0,1,1
268,American University,AMER,0.09,0.09,1,1
269,Arizona State University,ARIZ,0.08,0.1,1,1
270,Auburn University,AUBU,0.24,0.45,1,1
271,Babson College,BABS,0.04,0.08,1,1
272,Ball State University,BALL,0.11,0.1,1,1
273,Bates College,BATE,0,0,0,0
274,Bentley University,BENT,0.04,0.08,1,1
275,Berea College,BERE,0,0,0,0
276,Binghamton University,BING,0.16,0.16,1,1
277,Birmingham Southern College,BIRM,0.4,0.5,1,1
278,Bloomsburg University of Pennsylvania,BLOO,0.09,0.11,1,1
279,Boise State University,BOIS,0.1,0.1,1,1
280,Boston College,BOST,0,0,0,0
281,Brigham Young University-Provo,BRIG,0,0,0,0
282,Bryant University,BRYA,0.07,0.12,1,1
283,CUNY Brooklyn College,NYBK,0.01,0.01,1,1
284,CUNY City College,NYCC,0.01,0.01,1,1
285,CUNY Hunter College,NYHT,0,0,1,1
286,CUNY Lehman College,NYLH,0,0,1,1
287,Florida Agricultural and Mechanical University,FAGM,0.62,0,1,1
288,Florida Atlantic University,FATL,0.06,0.1,1,1
289,Central Michigan University,CENT,0.08,0.09,0,1
290,Citadel Military College of South Carolina,CITA,0,0,0,0
291,Coastal Carolina University,COAS,0.02,0.05,0,0
292,Colorado School of Mines,COLO,0.13,0.2,1,1
293,Cooper Union for the Advancement of Science and Art,COOP,0.04,0,0,0
294,Cornell University,CORN,0.27,0.24,1,1
295,Florida Gulf Coast University,FGCU,0.07,0.05,1,1
296,Franklin and Marshall College,FMRS,0.12,0.22,1,1
297,Franklin W. Olin College of Engineering,FKLO,0,0,0,0
298,Georgia College,GCOL,0.08,0.11,1,1
299,Georgia Southern University,GASO,0.1,0.14,1,1
300,DePaul University,DEPA,0.05,0.08,0,1
301,Drexel University,DREX,0.11,0.09,1,1
302,Duquesne University,DUQU,0.16,0.25,1,1
303,Eastern Kentucky University,EAST,0.01,0.01,1,1
304,Elon University,ELON,0.2,0.39,1,1
305,Embry-Riddle Aeronautical University,EMBR,0.1,0.11,1,1
306,Emerson College,EMER,0.02,0.03,1,1
307,Endicott College,ENDI,0,0,0,0
308,Fitchburg State University,FITC,0,0,1,1
309,Indiana University Bloomington,IND,0.21,0.21,1,1
310,Indiana University-Purdue University-Indianapolis,IPUI,0.01,0.02,1,1
311,University of Massachusetts Amherst,MASS,0.08,0.08,1,1
312,Massachusetts Maritime Academy,MSMR,0,0,0,0
313,Mercer University,MERC,0.2,0.25,1,1
314,Mercyhurst University,MHST,0,0,0,0
315,University of Mississippi,MISS,0.35,0.45,1,1
316,Hampshire College,HAMP,0,0,0,0
317,Haverford College,HAVE,0,0,0,0
318,High Point University,HIGH,0.16,0.43,1,1
319,Hobart William Smith Colleges,HOBA,0.18,0.02,1,1
320,Howard University,HOWA,0.05,0.03,1,1
321,Missouri University of Science and Technology,MUST,0.26,0.28,1,1
322,New College of Florida,NEWF,0,0,0,0
323,Kalamazoo College,KALA,0,0,0,0
324,Kent State University at Kent,KENT,0,0,1,1
325,Kettering University,KETT,0.08,0.06,1,1
326,Lewis & Clark College,LEWI,0,0,0,0
327,Linfield College-McMinnville Campus,LINF,0.27,0.3,1,1
328,Louisiana State University,LOUI,0.15,0.25,1,1
329,Loyola University Maryland,LOYO,0,0,0,0
330,New Mexico Institute of Mining and Technology,NMMT,0,0,0,0
331,New Mexico State University-Main Campus,NMST,0.02,0.02,1,1
332,McDaniel College,MCDA,0.14,0.15,1,1
333,New York Institute of Technology,NYIT,0,0,1,1
334,Miami University,MIAM,0.1,0.16,1,1
335,Middlebury College,MIDD,0,0,0,0
336,Millersville University of Pennsylvania,MILL,0.04,0.04,1,1
337,North Carolina State University,NCST,0.11,0.15,1,1
338,Monmouth University,MONM,0.08,0.23,1,1
339,North Dakota State University-Main Campus,NDST,0.09,0.08,1,1
340,Northern Michigan University,NMU,0,0,1,1
341,Ohio University,OHIO,0.04,0.07,1,1
342,Ohio State University,OHST,0.06,0.1,1,1
343,Oregon Institute of Technology,ORIT,0,0,1,1
344,Oregon State University,ORST,0.11,0.15,1,1
345,University of Pennsylvania,PENN,0.3,0.28,1,1
346,Pennsylvania State University - University Park,PSUP,0.17,0.2,1,1
347,Old Dominion University,OLD ,0.05,0.04,1,1
348,University of Portland,PORT,0,0,0,0
349,Portland State University,PTST,0.01,0.01,1,1
350,University of Rochester,ROCH,0.15,0.12,1,1
351,Pomona College,POMO,0,0,0,0
352,Rochester Institute of Technology,RIT,0.04,0.02,1,1
353,Purdue University,PURD,0.14,0.18,1,1
354,Quinnipiac University,QUIN,0.15,0.18,1,1
355,Rhode Island School of Design,RHOD,0,0,0,0
356,Rice University,RICE,0,0,0,0
357,Rutgers University-Camden,RUTC,0,0,1,1
358,Rose-Hulman Institute of Technology,ROSE,0.33,0.36,1,1
359,Rowan University,ROWA,0.04,0.04,1,1
360,Rutgers University-New Brunswick,RUTB,0,0,1,1
361,Rutgers University-Newark,RUTN,0,0,1,1
362,University of San Francisco,SANF,0.05,0.1,1,1
363,Saint Mary's College of California,SMCA,0,0,0,0
364,San Francisco State University,SFST,0.01,0.02,0,0
365,Salem State University,SALE,0,0,1,1
366,Salisbury University,SALI,0.11,0.07,1,1
367,Salve Regina University,SALV,0,0,0,0
368,Sam Houston State University,SAM ,0.06,0.05,1,1
369,San Jose State University,SJST,0,0,1,1
370,St. John's College (MD),STJM,0,0,0,0
371,Simmons University,SIMM,0,0,0,0
372,Soka University of America,SOKA,0,0,0,0
373,Sonoma State University,SONO,0.1,0.1,1,1
374,Southern Connecticut State University,SOUT,0.01,0.03,1,1
375,St Bonaventure University,ST B,0,0,0,0
376,St John's University-New York,ST J,0.13,0.17,1,1
377,St Lawrence University,ST L,0,0,0,0
378,St Olaf College,ST O,0,0,0,0
379,Saint Johns University,STJN,0,0,0,0
380,SUNY at Fredonia,FRDN,0.01,0.01,1,1
381,Stanford University,STAN,0.19,0.25,1,1
382,State University of New York at New Paltz,STAT,0.05,0.05,0,0
383,Stockton University,STOC,0.09,0.1,1,1
384,Stony Brook University,STON,0.03,0.03,1,1
385,Suffolk University,SUFF,0.03,0.02,1,1
386,SUNY at Purchase College,PRCH,0,0,0,0
387,SUNY College at Brockport,BKPT,0.01,0.02,1,1
388,SUNY College at Oswego,OSWG,0.07,0.06,1,1
